ward_name,ward_no,area_sqkm,log_area,perimeter_km,compactness,solidity,dist_center_km,local_ward_density_km,num_neighbors,perimeter_area_ratio,facility_count,predicted_facilities,residual,desert_score
Lakshmi Devi Nagar,42,0.8077248220581112,0.5920690501972629,5.871768925688952,0.2943983562452912,0.7196795279861801,8.896924484311228,1.1476920154397316,5,7.269516505296294,0,3.2405125349951422,-3.2405125349951422,3.2405125349951422
Doddagollarahatti,31,7.367713920893931,2.124380719464499,21.594446965694072,0.19854476746240038,0.5872479589349643,12.286715755587567,2.7678351366314167,5,2.9309562229954227,3,12.725589834578967,-9.725589834578967,9.725589834578967
Ullal,32,5.152670915660161,1.8168862827688435,15.56296697137318,0.26733602043573784,0.6731364425519252,11.954512060307223,2.5699316744306615,3,3.0203688972400156,3,13.044912974062434,-10.044912974062434,10.044912974062434
T Dasarahalli,21,1.0936233842954475,0.73889624159034,6.001135313323541,0.3816021503238557,0.7004258137599763,11.984776388210689,1.5090606841803906,6,5.487387522524213,3,3.845594820419021,-0.8455948204190209,0.8455948204190209
Chokkasandra,22,2.1945667803240796,1.1614514856231268,9.0447456530315,0.33710558498668874,0.7286600729368429,12.148424608669252,1.6986672826580318,7,4.121426485684719,2,8.24326294027527,-6.243262940275271,6.243262940275271
Rajagopal Nagar,24,1.8567219423956818,1.0496747934844854,9.420879947067876,0.262889835641305,0.5541066714512259,10.099009470000304,1.441961308467823,6,5.073931498279355,2,6.8091741440732125,-4.8091741440732125,4.8091741440732125
Rajeshwari Nagar,25,1.2058433421558168,0.7911099038744065,5.421318553129947,0.5155738717780524,0.8760042558899589,9.802020082131508,1.2896314249313356,5,4.495873023968161,1,7.949764882810863,-6.949764882810863,6.949764882810863
Ranadheera Kanteerava,43,1.0389639504797061,0.7124418114358809,5.787360154142641,0.38980672124380683,0.7681602647742586,8.529702664085615,1.1173272949727606,6,5.570318538454126,2,6.994626000831414,-4.994626000831414,4.994626000831414
Veera Sindhura Lakshamana,44,1.3855784344108744,0.8694416250859318,8.74901346981243,0.22746930931127674,0.629375137801462,9.080530375841816,1.309291491941642,7,6.3143400997954835,1,5.712822012897215,-4.712822012897215,4.712822012897215
Sir M. Vishweshwaraiah,46,3.6494540187001014,1.5367497973722335,7.980373523265484,0.7200975312122136,0.9410404771691951,10.03275907997383,1.955254456143937,6,2.1867308047651504,3,15.025484346198894,-12.025484346198894,12.025484346198894
